id,sample,label

658,czy szpital może żądać od klientki zwrotu części wynagrodzenia w zaistniałych okolicznościach,prawo medyczne

659,czy oświadczenie o posiadanym prawie do dysponowania nieruchomością która stanowi współwłasność klienta i jego brata na cele budowlane może złożyć małżonka klienta,prawo administracyjne

660,czy lufthansa powinna zagwarantować klientowi zakwaterowanie na czas oczekiwania na drugi lot,prawo administracyjne

661,czy klientka ma obowiązek wykonania testu na covid we własnym zakresie aby umożliwić sobie rozpoczęcie stażu kierunkowego w zewnętrznej jednostce,prawo medyczne

662,czy bezobjawowy pacjent z dodatnim wynikiem na covid podlega obowiązkowi hospitalizacji kto nakłada obowiązek izolacji w przypadku takiego pacjenta,prawo medyczne

663,jakie uprawnienia przysługują oskarżycielowi posiłkowemu w postepowaniu w sprawach o wykroczenia,prawo karne

664,jakie elementy otoczenia może obejmować monitoring klienta,prawo administracyjne

665,czy będąc kierownikiem punktu aptecznego jest możliwym również pracowanie w aptece ogólnodostępnej czy zatrudnienie na stanowisku kierownika punktu aptecznego jest możliwe nie tylko w pełnym wymiarze czasu pracy,prawo farmaceutyczne

666,czy klientka w trakcie trwania szkolenia specjalizacyjnego lekarza w trybie rezydenckim może zostać zatrudniona na podstawie umowy o pracę w innym podmiocie,prawo medyczne

667,jakie są prawa i obowiązki klienta na przesłuchaniu w charakterze świadka czy klient może przyjść na przesłuchanie wraz ze swoim pełnomocnikiem,prawo karne

668,czy prezes urzędu ochrony danych osobowych może nałożyć karę pieniężną na portal znanylekarzpl za niezgodne z prawem udostępnianie danych osobowych klienta czy klient może dochodzić odszkodowania i zadośćuczynienia od portalu znanylekarzpl za niezgodne z prawem udostępnianie danych osobowych,prawo administracyjne

669,czy klient może podawać pacjentom leki mimo że zgodnie ze światowymi zaleceniami nie powinno się ich stosować poza testami klinicznymi,prawo medyczne

670,czy apteka ma obowiązek umieszczać kody gtu na wszystkich fakturach czy tylko na fakturach dla przedsiębiorców czy apteka musi zamieszczać na fakturach jedynie kod gtu  czy jeszcze jakieś inne kody gtu czy hurtownie farmaceutyczne powinny wskazywać kody gtu na fakturach,prawo farmaceutyczne

671,czy klient może dochodzić zwrotu zaliczki,prawo administracyjne

672,czy komunikat prezesa podmiotu zatrudniającego klientkę jest zgodny z przepisami prawa,prawo pracy

673,jak przedstawia się obowiązek przejmowania dokumentacji medycznej w przypadku zakończenia prowadzenia działalności leczniczej jaką treść powinno zawierać oświadczenie pacjentek w sprawie przekazania dokumentacji medycznej,prawo medyczne

674,czy policja może ukarać mandatem za brak maseczki,prawo karne

675,czy klientka może dokonać korekty zamkniętego okresu rozliczeniowego,prawo farmaceutyczne

676,czy możliwe jest umorzenie egzekucji co do świadczeń wymagalnych w przyszłości ze źródeł innych niż wynagrodzenie za pracę,prawo cywilne

677,czy testament sporządzony przez matkę klientki jest ważny,prawo cywilne

678,czy klient zobowiązany jest obowiązek udać się na kwarantannę,prawo medyczne

679,czy pracodawca może nakazać klientce przyjść do pracy  października mimo że uniemożliwi jej to odbycie obowiązkowego szkolenia,prawo medyczne

680,czy ewentualne błędy medyczne popełnione przez klienta podczas udzielania świadczeń zdrowotnych na oddziale przekształconym w oddział zajmujący się leczeniem zachorowań na covid będą objęte wykupioną przez klienta polisą oc,inne

681,co klientka powinna odpowiedzieć narodowemu funduszowi zdrowia czy termin siedmiu dni należy liczyć uwzględniając jedynie dni robocze,prawo farmaceutyczne

682,czy pracodawca może wypowiedzieć klientce umowę o pracę w przypadku likwidacji stanowiska pracy czy klientce będzie przysługiwała odprawa czy klientka może przejść na emeryturę pomostową,prawo pracy

683,czy można cofnąć skierowanie na test w kierunku koronawirusa czy jeśli pacjentka nie wyraża zgody na wykonanie testu to klientka musi zgłosić podejrzenie wystąpienia zakażenia do sanepidu,prawo medyczne

684,czy klientka będzie zobowiązana ponieść koszty prac ślusarza i przechowywania rzeczy dłużnika,prawo cywilne

685,czy w przedstawionych okolicznościach można okres urlopu wypoczynkowego od dnia  lipca do  września br zamienić po czasie na okres pobierania zasiłku opiekuńczego i żądać przywrócenia wykorzystanego urlopu wypoczynkowego,prawo pracy

686,czy klientka ma prawo odmówić pracy argumentując to okolicznością pracy na innym oddziale,prawo pracy

687,czy klientka jest obowiązany do osobistego stawienia się w sądzie,prawo cywilne

688,czy pracodawca może zobowiązać klientkę do odpracowania dyżuru w aptece przypadającego w czasie zwolnienia lekarskiego,prawo pracy

689,czy klientka ma obowiązek udzielić informacji zarządowi wspólnoty mieszkaniowej,prawo cywilne

690,czy składanie skarg do wspólnoty mieszkaniowej można uznać za nękanie klientki jakie kroki prawne powinna podjąć klientka,prawo karne

691,czy lekarz który skończył szkolenie specjalizacyjne jednak nie zdał jeszcze państwowego egzaminu specjalizacyjnego może wykonywać samodzielnie znieczulenia,prawo medyczne

692,jak klient ma nazywać usługi wskazane na fakturze i wystawiane dla lex secure spk jakie pkd klient ma podawać na fakturach dla lex secure spk czy klient musi rozszerzyć swoją działalność w ceidg,prawo podatkowe

693,jakie przepisy prawne określają wymogi sanitarne związane z transportem i przechowywaniem suplementów diety jakie inne obowiązki pod kątem sanitarnym przedsiębiorca musi spełniać chcąc prowadzić działalność wysyłkową suplementów,inne

694,w jaki sposób klientka powinna oznaczać suplementy diety sprowadzane spoza unii europejskiej jaki akt prawny reguluje maksymalne dopuszczalne limity substancji w suplementach diety,inne

695,czy pracodawca może polecić klientce pracę w innym szpitalu czy pracodawca może polecić klientce pracę na innym oddziale,prawo medyczne

696,czy klient może nie wyrazić zgody na skierowanie go do pracy na oddziale dla pacjentów chorych na covid,prawo pracy

697,czy klientowi przysługuje dodatek za pracę w jednym miejscu na podstawie rozporządzenia ministra zdrowia z dnia  kwietnia  r w sprawie standardów w zakresie ograniczeń przy udzielaniu świadczeń opieki zdrowotnej pacjentom innym niż z podejrzeniem lub zakażeniem wirusem sarscov przez osoby wykonujące zawód medyczny mające bezpośredni kontakt z pacjentami z podejrzeniem lub zakażeniem tym wirusem,prawo medyczne

698,co klient powinien zrobić w przedstawionej sytuacji czy polisa klienta obejmuje rekomendację pełnomocnika oraz refundację jego kosztów w tej sprawie,prawo cywilne

699,czy klientka może nagrywać wizytę pacjenta w gabinecie,prawo karne

700,czy influvactetra można zapisać letniemu dziecku,prawo medyczne

701,czy dyrektor szpitala może przenieść klientkę do pracy na inny oddział na okres trzech miesięcy,prawo medyczne

702,jakie są kryteria wypłacania świadczeń z zakładowego funduszu socjalnego czy świadczenie musi być równe,prawo pracy

703,czy lekarz zatrudniony na podstawie umowy o pracę może być oddelegowany przez pracodawcę do pracy z pacjentami z potwierdzoną infekcją covid w ramach placówki gdzie jest zatrudniony czy wszyscy lekarze wszystkie specjalizacje mogą być oddelegowani przez dyrektora do pracy na innym oddziale,prawo pracy

704,czy apteka powinna złożyć sprawozdanie za  rok mimo że w tym okresie nie wytworzyła żadnych odpadów,prawo farmaceutyczne

705,czy klient może w czasie kwarantanny podjąć pracę zdalną i udzielać pacjentom teleporad,prawo medyczne

706,czy pracodawca może nie przedłużyć klientce umowy o pracę czy list intencyjny ma znaczenie w niniejszej sprawie,prawo pracy

707,w jaki sposób klientka może kupić nieruchomość wraz z możliwością korzystania z drogi dojazdowej oraz możliwością pociągnięcia mediów,prawo administracyjne

708,czy dodatkowe dni urlopowe z tytułu umiarkowanego stopnia niepełnosprawności należy wykorzystać w tym samym roku w którym urlop nabyto czy urlop ten można wykorzystać w następnym roku czy osoba która w tym samym roku kalendarzowym została zdyskwalifikowana z grupy umiarkowanego stopnia niepełnosprawności a następnie została do tej grupy zakwalifikowana musi przepracować jeden rok kalendarzowy aby nabyć dodatkowe  dni urlopu wypoczynkowego,prawo pracy

709,czy pracodawca może różnicować wysokość świadczeń z zakładowego funduszu świadczeń socjalnych w zależności od wysokości dokonanego odpisu na ten fundusz,prawo pracy

710,co należy zrobić w przedstawionych okolicznościach,prawo medyczne

711,czy influvac tetra można zapisać letniemu dziecku z refundacją,prawo farmaceutyczne

712,ile przerw na karmienie piersią przysługuje klientce i ile czasu mają trwać w przypadku gdyby klientka pracowała na pół etatu po  godziny dziennie ile przerw na karmienie piersią przysługuje klientce i ile czasu mają trwać w przypadku gdyby klientka pracowała na  etatu po  godzin dziennie czy praca w systemie równoważnego czasu pracy wpływa na ilość i długość przerw na karmienie piersią jeżeli klientce przysługiwałaby tylko jedna przerwa na karmienie piersią to ile minimalnie musiałaby pracować aby mieć do dyspozycji dwie przerwy po  minut,prawo pracy

713,czy apteka w czasie godzin dla seniora może obsługiwać również klientów którzy nie są seniorami oraz czy ustawodawca przewiduje kary za nieprzestrzeganie godzin dla seniora,prawo karne

714,czy sklep może odmówić sprzedaży towarów osobom niezakrywającym nosa i ust,prawo karne

715,czy lekarz który nie jest zatrudniony może zostać skierowany do pracy przy zwalczaniu epidemii przez wojewodę na jakiej podstawie pracodawca może oddelegować osobę zatrudnioną w podmiocie leczniczym do pracy przy zwalczaniu epidemii,prawo medyczne

716,czy szkolenie organizowane przez pracodawcę może się odbyć,prawo medyczne

717,czy umowa o pracę na czas określony ulega przedłużeniu na czas trwania izolacji domowej,prawo pracy

718,czy nieruchomość jest obciążona hipoteką lub innymi prawami osób trzecich co oznacza wpis dotyczący migracji w dziale iv księgi wieczystej,prawo cywilne

719,czy pracodawca mógł nakazać klientce pracę polegającą na pomocy pielęgniarskiej,prawo pracy

720,czy lekarz specjalista musi być obecny fizycznie podczas konsultacji na prośbę lekarza rezydenta czy szpital może nakazać pracę lekarzom ponad  h w tygodniu bez podpisania klauzuli optout z jakim wyprzedzeniem lekarz musi dowiedzieć się że będzie pełnił dyżur,prawo medyczne

721,na jakiej podstawie prawnej zostały wprowadzone ograniczenia dotyczące wesel jakie grożą sankcje wymierzone przez inspektora sanitarnego za nieprzestrzeganie ograniczeń na weselu,prawo medyczne

722,czy dyrekcja szpitala może wyznaczyć klientce dyżur podczas obowiązkowego stażu zewnętrznego czy lekarz awaryjny musi być w gotowości cały miesiąc czy lekarz specjalista zatrudniony na  etatu może być zobowiązany przez pracodawcę do pracy na innym oddziale,prawo medyczne

723,czy na podstawie ustawy o zapobieganiu oraz zwalczaniu zakażeń i chorób zakaźnych u ludzi można egzekwować obowiązek noszenia maseczki,prawo karne

724,czy szkolenie organizowane przez pracodawcę może się odbyć termin szkolenia został wyznaczony na przyszły tydzień,prawo medyczne

725,jakiej wysokości podatek powinna zapłacić klientka w niniejszej sytuacji,prawo podatkowe

726,czy możliwa jest modyfikacja sytuacji pracownika znajdującego się w trakcie okresu wypowiedzenia przez wprowadzenie przepisów prawa powszechnie obowiązującego,prawo pracy

727,jak klientka powinna zachować się w związku z roszczeniami pacjentki,prawo medyczne

728,czy pracownikowi przysługuje urlop szkoleniowy w wymiarze  dni,prawo pracy

729,w jaki sposób dokonać przepisania udziału męża klientki we własności nieruchomości na dzieci klientki w jaki sposób klientka może przejąć dług męża,prawo cywilne

730,w jaki sposób klientka może dowiedzieć się o stanie swojej sprawy rozwodowej,prawo cywilne

731,czy w związku z wprowadzeniem stanu epidemii pracodawca może oddelegować rezydenta pediatrii na oddział internistyczny który nie jest dedykowany dla pacjentów chorych na covid,prawo medyczne

732,w jaki sposób zgłosić zaniedbanie lekarza,prawo karne

733,jakie kroki może podjąć klientka aby bank odblokował jej środki znajdujące się na rachunku bankowym,prawo cywilne

734,czy dodatkowy urlop wypoczynkowy dla osób niepełnosprawnych w razie niewykorzystania przechodzi na następny rok,prawo pracy

735,czy klientka może zostać oddelegowana do pracy na innym oddziale,prawo pracy

736,czy klientka może nie zgodzić się na nagrywanie wizyty czy klientka może odmówić leczenia w przypadku gdy pacjent odmówi wyłączenia kamery czy honorowy dawca krwi powinien zostać przyjęty przez lekarza bez kolejki,prawo karne

737,czy pracodawca może zobowiązać pracownika do wykonywania testu na covid raz w tygodniu,prawo pracy

738,co może zrobić apteka gdy pacjent złoży skargę na aptekę w związku z tym że nie było w niej szczepionek czy apteka może tworzyć listy oczekujących na szczepionki czy apteka może pobierać od pacjentów dane osobowe w celu stworzenia listy oczekujących co może zrobić apteka w sytuacji gdy w aptece nie będzie konkretnego typu leków a pacjentowi będzie kończyć się okres na jaki zostanie wystawiona recepta,prawo administracyjne

739,czy w przedstawionych okolicznościach pracodawca będzie miał roszczenie do klienta o zwrot pieniędzy,prawo pracy

740,czy klientka jest zobowiązana do zapłaty kwoty żądanej przez narodowy fundusz zdrowia,prawo medyczne

741,co będzie w przypadku jeśli wspólnota mieszkaniowa odmówi usługodawcy udostępnienia nieruchomości,prawo administracyjne

742,czy decyzja ubezpieczyciela jest zasadna,prawo cywilne

743,czy w związku z powstaniem szpitala jednoimiennego klientka będzie mogła w nim pełnić dyżury medyczne i jednocześnie uczęszczać na staż do innej jednostki szpitala,prawo medyczne

744,czy pracodawca bez uprzedniej zgody pracownika może wprowadzić zmianę systemu pracy jeżeli został on określony w umowie o pracę,prawo pracy

745,jaki termin wypowiedzenia umowy o pracę obowiązuje klienta,prawo pracy

746,czy klientka może być skierowana do zwalczania epidemii decyzją wojewody,prawo medyczne

747,jak klient może zachować się w związku z odmowną decyzją w przedmiocie wypłaty odszkodowania,prawo cywilne

748,czy w przypadku zatrudnienia na umowę o pracę w niepełnym wymiarze godzin pracownikowi należy się urlop okolicznościowy z powodu ślubu i pogrzebu,prawo pracy

749,czy data umiejscowiona na blistrze może być uznana za datę zdatności suplementu diety do spożycia,inne

750,czy pracodawca może zobowiązać klientkę do pełnienia dyżurów samodzielnych w zakresie przekraczającym liczbę godzin jaką przewiduje program specjalizacji czy klientka mimo zgody kierownika specjalizacji która nie czuje się gotowa na pełnienie dyżurów samodzielnie może odmówić ich pełnienia,prawo medyczne

751,czy klientowi przysługuje refundacja kosztów pełnomocnika,prawo karne

752,czy klient jest zobowiązany do zainstalowania aplikacji służącej potwierdzeniu realizacji obowiązku przestrzegania kwarantanny czy od obowiązku izolacji w warunkach domowych zostały przewidziane wyjątki,prawo medyczne

753,czy polisa klientki obejmuje szkody powstałe w związku z wykonywaniem innych niż do tej pory obowiązków w szpitalu,inne

754,czy hurtownia farmaceutyczna może dokonać zwrotu produktu leczniczego do dostawcy,prawo farmaceutyczne

755,czy od zakazu poruszania się dla osób do  roku życia przewidziane są wyjątki,prawo medyczne

756,czym jest instytucja interwenienta ubocznego,prawo cywilne

757,czy pracodawca ma możliwość udzielenia pracownikowi zatrudnionemu na podstawie umowy o pracę zaległego urlopu wypoczynkowego bez jego zgody jak kształtuje się kwestia urlopu dla członków zarządu zatrudnionych na podstawie umowy o pracę jaki będzie wymiar urlopu dla pracownika zatrudnionego na podstawie umowy o pracę w wymiarze  etatu,prawo pracy

758,czy apteka może odmówić sprzedaży towarów osobom niezakrywającym nosa i ust,prawo karne

759,czy klientka może zażądać podziału majątku czy klientka odziedziczy majątek po byłym mężu czy klientka powinna złożyć do urzędu gminy wniosek dotyczący zapłaty podatku za nieruchomość czy klientka ma obowiązek powiadomić notariusza o podjętej decyzji,prawo cywilne

760,czy klientka może korzystać z pełnomocnika podczas przesłuchania przez rzecznika odpowiedzialności zawodowej czy odmowa udziału pełnomocnika w przesłuchaniu świadka była uzasadniona,prawo karne

761,czy klient podczas kwarantanny może wykonywać pracę zdalną na rzecz przychodni w której jest zatrudniony,prawo pracy

762,jak przedstawia się procedura dotycząca ruchomości pozostawionych w lokalu po eksmisji dłużnika jakie koszty związane z egzekucją może ponieś klientka,prawo cywilne

763,do czyich obowiązków należy wypełnienie karty zgonu na jakiej podstawie należy wypełnić kartę zgonu czy możliwe jest wystawienie karty zgonu na podstawie pisemnej notatki otrzymanej od innego lekarza,prawo medyczne

764,czy pracodawca mógł zmienić wymiaru czasu pracy klientki na  etatu bez złożenia wypowiedzenia zmieniającego albo podpisania porozumienia zmieniającego w jaki sposób klientka może odwołać się od treści świadectwa pracy,prawo pracy

765,czy lekarz stażysta może dodatkowo podjąć pracę na podstawie umowę zlecenie u innego pracodawcy przy pobieraniu wymazów na covid,prawo medyczne

766,czy zarządca ma obowiązek udzielania firmom ubezpieczającym informacji dotyczących sprawcy szkody,prawo cywilne

767,czy klientka może pracować w innych miejscach,prawo medyczne

768,czy postępowanie dotyczące ubezwłasnowolnienia może zakończyć na pierwszej rozprawie czy możliwy jest zakres opiekikurateli nad ubezwłasnowolnionym gdzie osoba powołana członek rodziny zarządzałaby wyłącznie majątkiem ubezwłasnowolnionego czy pełnomocnik procesowy członek rodziny osoby mającej być ubezwłasnowolnioną może zostać jej opiekunemkuratorem,prawo cywilne

769,co może zrobić klientka aby zminimalizować koszty zatrudnienia pracownika przez okres wypowiedzenia,prawo pracy

770,czy w razie gdyby test męża klientki wyszedł pozytywny to czy klientka będzie obowiązana do odbycia kwarantanny razem z nim,prawo medyczne

771,w jaki sposób wspólnota mieszkaniowa może uchronić się przed ewentualnymi roszczeniami przyszłych nabywców części współwłasności nieruchomości garażowej,prawo cywilne

772,czy klientka bez pisemnej zgody pacjentki może wydać dokumentację medyczną obecnemu lekarzowi prowadzącemu czy klientka może udostępnić dokumentację medyczną drogą mailową,prawo medyczne

773,czy umowę najmu lokalu użytkowego należy zarejestrować w urzędzie skarbowym,prawo cywilne

774,czy podczas izolacji w warunkach domowych klient może wykonywać pracę zdalną na rzecz przychodni,prawo pracy

775,czy obecnie pracodawca ma możliwość wydania klientce polecenia dotyczącego pełnienia samodzielnego dyżuru medycznego na innym oddziale podmiotu leczniczego,prawo medyczne

776,jaki jest obecny status klienta czy przebywa on na kwarantannieizolacji domowej,prawo medyczne

777,czy w zaistniałych okolicznościach polisa klientki obowiązuje czy wciąż ubezpieczyciel mógł wypłacić wyłącznie  odszkodowania,prawo cywilne

778,czy w przypadku gdy pacjentka nie jest ubezwłasnowolniona syn pacjentki może podejmować za nią decyzje w zakresie prowadzenia leczenia,prawo medyczne

779,jakie koszty wiążą się z dokonaniem darowizny udziału w nieruchomości przez byłego męża klientki,prawo cywilne

780,czy wojewoda może oddelegować pielęgniarkę do pracy przy zwalczaniu epidemii,prawo medyczne

781,czy klient mógł zostać skierowany do pracy w transporcie medycznym,prawo medyczne

782,czy koleżanka klientki jest zobowiązana do spłaty długu,prawo cywilne

783,czy ojciec klientki może być jej pełnomocnikiem czy pełnomocnictwo musi mieć formę aktu notarialnego,prawo cywilne

784,czy klientka mogłaby zostać skierowana do pracy na innym oddziale który nie jest związany z jej specjalizacją i umiejętnościami czy w razie skierowania klientki na oddział niezwiązany z jej specjalizacją i umiejętnościami ponosi ona jakąkolwiek odpowiedzialność prawną karną cywilną dyscyplinarną czy umownie mogłaby być zwolniona z odpowiedzialności czy w razie skierowania klientki na oddział wykraczający poza jej specjalizację i umiejętności może ona natychmiastowo rozwiązać umowę,prawo karne

785,jak w zaistniałych okolicznościach ma zachować się lekarz rezydent,prawo medyczne

786,na jakich warunkach klientka może wykonywać swoją pracę zdalnie,prawo medyczne

787,czy osoba przebywająca na urlopie wychowawczym jest w dalszym ciągu traktowana jako członek związku zawodowego,prawo pracy

788,czy klient jest zobowiązany do zainstalowania aplikacji służącej potwierdzeniu realizacji obowiązku przestrzegania kwarantanny,prawo medyczne

789,czy klient powinien wypuścić pacjenta z izby wytrzeźwień gdy ten mówi zabije się jak stąd wyjdę oraz czy ponosiłby ewentualną odpowiedzialność,prawo karne

790,czy wypowiedzenie złożone drogą mailową jest skuteczne czy pracodawca ma obowiązek poinformowania klientki o otrzymaniu wypowiedzenia,prawo pracy

791,co należy zrobić w przedstawionych okolicznościach,prawo karne

792,czy lekarz stażysta skierowany do pracy przy zwalczaniu epidemii który ukończył staż podyplomowy i nie uzyskał prawa wykonywania zawodu lekarza z powodu niezłożenia z wynikiem pozytywnym lek albo ldek jest uznawany za lekarza w trakcie stażu podyplomowego i wykonuje zawód na podstawie prawa wykonywania zawodu o którym mowa w art  ust  ustawy o zawodzie lekarza i lekarza dentysty czy powyższe następuje z mocy ustawy i dotyczy również ww lekarzy skierowanych do pracy przy zwalczaniu epidemii decyzją pracodawcy,prawo medyczne

793,czy grafik ułożony przez pracodawcę narusza przepisy prawa,prawo pracy

794,czy klient powinien zarejestrować podmiot leczniczy aby móc zatrudniać innych fizjoterapeutów,prawo medyczne

795,czy klient może odbyć dyżury towarzyszące  i  listopada,prawo medyczne

796,czy klient ma obowiązek wykonać polecenie pracodawcy,prawo medyczne

797,w jaki sposób klientka może ubiegać się o zwrot pieniędzy za niewykorzystane bilety,inne

798,czy świadectwo pracy powinno uwzględniać zmianę formy prowadzenia działalności gospodarczej a w konsekwencji zmianę nazwy pracodawcy,prawo pracy

799,czy klientka może uchylić się od wykonania polecenia pracodawcy,prawo medyczne

800,jakie kroki może podjąć klient w związku z przedstawionym stanem faktycznym,prawo karne

801,czy siostry ojca klientki muszą odbyć kwarantannę w miejscu zamieszkania rodziców klientki,prawo medyczne

802,czy klient może zostać oddelegowany do pracy na innym oddziale,prawo pracy

803,czy klient może zostać skierowany do pracy przy zwalczaniu epidemii w szpitalu w którym odbywa szkolenie specjalizacyjne,prawo medyczne

804,w jakim terminie klientka powinna odpowiedzieć na reklamację złożoną przez pacjenta,prawo administracyjne

805,jakie podmioty należy uznać za udzielające świadczeń zdrowotnych którym klientka powinna wydać dokumentację medyczną pacjenta w jaki sposób podmiot udzielający świadczeń zdrowotnych powinien wystąpić o udostępnienie dokumentacji czy udostępnienie dokumentacji ww podmiotowi jest zgodne z przepisami o ochronie danych osobowych,prawo administracyjne

806,z jakimi formalnościami wiąże się rozwiązanie umowy o pracę za porozumieniem stron,prawo pracy

807,czy pracodawca może wezwać klienta do pracy podczas gdy przebywa on na urlopie wychowawczym czy wojewoda może skierować klienta do pracy przy zwalczaniu skutków epidemii podczas urlopu,prawo pracy

808,czy wspólnota mieszkaniowa może podjąć uchwałę dotyczącą wykonania ocieplenia stropu całej powierzchni piwnicy obejmującą również sufity komórek lokatorskich,prawo cywilne

809,czy klient podczas izolacji może wykonywać pracę zdalną na rzecz podmiotu w którym jest zatrudniony,prawo pracy

810,jak powinno wyglądać rozliczenie finansowe koordynatora oddziału rehabilitacji jeżeli oddział jest obecnie oddziałem dla pacjentów zakażonych covid czy w obecnej sytuacji wypowiedzenie złożone przez klientkę jest skuteczne,prawo medyczne

811,czy klientka może udostępnić ubezpieczycielowi posiadaną dokumentację medyczną zmarłego pacjenta,prawo medyczne

812,czy klient może skutecznie żądać zwrotu spłaty części kredytu w jakiej formie klient może domagać się zwrotu,prawo cywilne

813,czy klient może udzielać świadczeń zdrowotnych pacjentom którzy nie są chorzy na covid czy klient jest obowiązany do odbycia kwarantanny,prawo medyczne

814,czy pracodawca może zobowiązać pracownika do wykonywania testu na covid,prawo pracy

815,w jaki sposób klientka może odrzucić spadek,prawo cywilne

816,jak kształtuje się wynagrodzenie minimalne lekarza bez specjalizacji po odbytym stażu podyplomowym,prawo medyczne

817,czy wojewoda może skierować klienta do pracy przy zwalczaniu skutków epidemii jeżeli wychowuje dziecko z orzeczoną niepełnosprawnością jaki jest tryb odwołania od decyzji wojewody,prawo medyczne

818,czy pacjentka może żądać obniżenia ceny uzupełnień,prawo medyczne

819,czy pracodawca lekarza rezydenta może żądać zakazu konkurencji czy lekarz rezydent może nie podpisać takiego zakazu i jakie są tego konsekwencje czy wypowiedzenie umowy o pracę z powodu niepodpisania klauzuli o zakazie konkurencji może być powodem wypowiedzenia umowy o pracę co może obejmować zakaz konkurencji lekarza rezydenta,prawo medyczne

820,czy klient może zostać powołany do pracy przy zwalczaniu epidemii czy przepisy określają co klient powinien zrobić z prowadzoną praktyką stomatologiczną,prawo medyczne

821,czy klient może odmówić pacjentowi leczenia,prawo medyczne

822,jakie są prawa i obowiązki klientki na przesłuchaniu w charakterze świadka,prawo karne

823,czy klient może zostać skierowany do pracy przy zwalczaniu epidemii przez wojewodę,prawo medyczne

824,jakie kroki powinna podjąć klientka w związku z otrzymanym wezwaniem,prawo medyczne

825,czy farmaceuta jest uprawniony do wystawiania recept pro familiae i pro auctore,prawo farmaceutyczne

826,czy klientka może zostać skierowana do pracy na innym oddziale który nie jest związany z jej specjalizacją i umiejętnościami,prawo medyczne

827,czy klientka może samodzielnie pełnić dyżury na oddziale covidowym,prawo medyczne

828,czy i w jaki sposób klientka będąca lekarzem rezydentem może starać się o przyznanie jej dodatkowych środków finansowych dodatek covidowy za oddelegowanie jej do wykonywania czynności zawodowych na oddziale obserwacyjnozakaźnym,prawo medyczne

829,czy lekarzom przysługuje zasiłek opiekuńczy w sytuacji gdy zdecydują się na pozostanie w domu z uczącym się zdalnie dzieckiem w wieku poniżej  lat czy są od tego wyłączeni z powodu możliwości oddania dziecka do świetlicy szkolnej jako członkowie służb medycznych,prawo medyczne

830,czy klientka powinna skierować do dłużnika kolejne wezwanie do zapłaty,prawo cywilne

831,co należy rozumieć przez choroby przewlekłe o których mowa w art  ust  pkt  ustawy o zapobieganiu oraz zwalczaniu zakażeń i chorób zakaźnych u ludzi czy klientce grozi odpowiedzialność karna w przypadku złożenia fałszywego oświadczenia,prawo karne

832,co należy zrobić w przedstawionych okolicznościach,prawo medyczne

833,co należy zrobić w przedstawionych okolicznościach,prawo medyczne

834,czy klientka może zostać oddelegowana do pracy na innym oddziale,prawo pracy

835,czy obecny stan prawny pozwala na odmowę sprzedaży prezerwatyw spirali środków poronnych antykoncepcyjnych i homeopatii a także środków do procedury in vitro np stymulujących owulacje,prawo farmaceutyczne

836,czy klientka może się odwołać od zapisu w notatce policyjnej który jest nierzetelny i niezgodny z zaistniałym zdarzeniem czy dokumenty historii choroby syna klientki wpływają na kwalifikację prawną zdarzenia w kwestii czy doszło do wypadku drogowego czy kolizji czy policja powinna była poinformować męża i syna klientki o zakończeniu prowadzenia postępowania,prawo karne

837,czy jeżeli lekarz jest oddelegowany do pracy na oddział zakaźny w celu zwalczania epidemii to czy może on również pracować w innej placówce,prawo medyczne

838,czy tzw zejście po dyżurze wlicza się do czasu pracy i należy się za ten czas wynagrodzenie,prawo medyczne

839,czy jeśli pacjentka nie wyraża zgody na wykonanie testu to klientka musi zgłosić podejrzenie wystąpienia zakażenia do sanepidu,prawo medyczne

840,czy w ramach aptek prowadzonych pod jednym numerem nip można dokonywać przesunięć leków psychotropowych narkotycznych i prekursorów,prawo farmaceutyczne

841,czy klient może odmówić wydania pacjentowi domacicznego systemu terapeutycznego w kształcie litery t powołując się na art  ust  pkt  ustawy prawo farmaceutyczne,prawo farmaceutyczne

842,czy klient może umieścić na domu reklamę salonu kosmetycznego,prawo administracyjne

843,czy postawienie przez właściciela lokalu blaszanego boxa na miejscu parkingowym w podziemnej hali garażowej wymaga podjęcia przez wspólnotę mieszkaniową uchwały jeżeli podział miejsc parkingowych wynika z umowy quoad usum,prawo cywilne

844,czy do wykonania robót budowlanych w związku z przebudową części mieszkalnej budynku a także modernizacją elewacji budynku i umieszczeniem banerów reklamowych konieczna jest zgoda konserwatora zabytków,prawo administracyjne

845,jakiej opłacie podlega wydanie decyzji przez konserwatora zabytków,prawo administracyjne

846,czy w przypadku gdy w jednym z pomieszczeń domu urządzony jest salon kosmetyczny wymagane jest utworzenie osobnego wejścia do danego salonu,prawo administracyjne

847,czy wywieszenie banneru reklamowego na elewacji budynku objętego ochroną konserwatorską wiąże się z koniecznością uiszczania opłat,prawo administracyjne

848,czy wykonanie badania ekg może przeprowadzić osoba niebędąca pielęgniarką a pracująca w szpitalu np farmaceuta,prawo medyczne

